Stock_Code,Date,Mean_Sentiment_Score
ICICIBANK,8/4/2022,0.6908
ICICIBANK,8/5/2022,0.0279
INDUSINDBK,6/23/2022,0.20095
INDUSINDBK,6/24/2022,0.5994
INDUSINDBK,6/28/2022,0
INDUSINDBK,6/30/2022,0.296
INDUSINDBK,7/3/2022,0.6908
INDUSINDBK,7/4/2022,0.439266667
INDUSINDBK,7/5/2022,0
INDUSINDBK,7/6/2022,0
INDUSINDBK,7/7/2022,0
INDUSINDBK,7/8/2022,0.4906
INDUSINDBK,7/12/2022,-0.3612
INDUSINDBK,7/13/2022,0.20095
INDUSINDBK,7/18/2022,0.28064
INDUSINDBK,7/19/2022,0.2997
INDUSINDBK,7/20/2022,0.133155556
INDUSINDBK,7/21/2022,0.3682
INDUSINDBK,7/28/2022,0.100475
INDUSINDBK,7/29/2022,0.5574
INDUSINDBK,7/30/2022,0
INDUSINDBK,7/31/2022,0
INDUSINDBK,8/2/2022,0
INFY,7/24/2022,0.3615
INFY,7/25/2022,-0.0223
INFY,7/26/2022,-0.083483333
INFY,7/27/2022,0.228033333
INFY,7/28/2022,0.407
INFY,7/29/2022,0
INFY,7/31/2022,0.2814
INFY,8/1/2022,0
INFY,8/2/2022,0.4479
INFY,8/3/2022,0.6241
INFY,8/4/2022,0
INFY,8/5/2022,0.133966667
ITC,7/5/2022,0.2637
ITC,7/6/2022,0.29295
ITC,7/7/2022,0
ITC,7/8/2022,0.032
ITC,7/10/2022,0.2023
ITC,7/11/2022,-0.051033333
ITC,7/12/2022,0.1366
ITC,7/13/2022,-0.46645
ITC,7/14/2022,0.3252
ITC,7/16/2022,-0.05135
ITC,7/17/2022,0.35875
ITC,7/18/2022,-0.3818
ITC,7/19/2022,0
ITC,7/20/2022,0.435675
ITC,7/21/2022,0.16212
ITC,7/22/2022,0.2732
ITC,7/23/2022,-0.7783
JSWSTEEL,6/1/2022,0.4019
JSWSTEEL,6/2/2022,-0.02345
JSWSTEEL,6/4/2022,0
JSWSTEEL,6/5/2022,-0.1806
JSWSTEEL,6/6/2022,0
JSWSTEEL,6/9/2022,-0.0516
JSWSTEEL,6/10/2022,0
JSWSTEEL,6/15/2022,0.4019
JSWSTEEL,6/17/2022,0.34895
JSWSTEEL,6/18/2022,0.2732
JSWSTEEL,6/19/2022,-0.1027
JSWSTEEL,6/25/2022,-0.1027
JSWSTEEL,6/27/2022,0
JSWSTEEL,6/28/2022,0.31245
JSWSTEEL,6/29/2022,0.2202
JSWSTEEL,7/2/2022,0.5267
JSWSTEEL,7/3/2022,0.178166667
JSWSTEEL,7/4/2022,0.03635
JSWSTEEL,7/7/2022,0
JSWSTEEL,7/8/2022,0.148
JSWSTEEL,7/13/2022,0.20095
JSWSTEEL,7/22/2022,0.2202
JSWSTEEL,7/24/2022,0.37095
JSWSTEEL,7/25/2022,0
KOTAKBANK,7/1/2022,0.2787
KOTAKBANK,7/2/2022,0.4588
KOTAKBANK,7/5/2022,0
KOTAKBANK,7/6/2022,0
KOTAKBANK,7/8/2022,0
KOTAKBANK,7/10/2022,0
KOTAKBANK,7/12/2022,0
KOTAKBANK,7/13/2022,0.4019
KOTAKBANK,7/14/2022,0.20095
KOTAKBANK,7/15/2022,0
KOTAKBANK,7/16/2022,0.4404
KOTAKBANK,7/19/2022,0
KOTAKBANK,7/22/2022,0.4588
KOTAKBANK,7/23/2022,0.2202
KOTAKBANK,7/24/2022,-0.05135
KOTAKBANK,7/25/2022,0
KOTAKBANK,7/26/2022,0.4588
KOTAKBANK,7/27/2022,0.296
KOTAKBANK,7/28/2022,0.4019
KOTAKBANK,7/29/2022,0
KOTAKBANK,7/30/2022,0
KOTAKBANK,8/2/2022,0
KOTAKBANK,8/3/2022,0.4019
KOTAKBANK,8/4/2022,0.2263
LT,5/6/2022,0.296
LT,5/7/2022,0
LT,5/9/2022,0
LT,5/11/2022,0.4019
LT,5/12/2022,-0.07655
LT,5/13/2022,0
LT,5/24/2022,0
LT,6/1/2022,0.5106
LT,6/3/2022,0.4019
LT,6/7/2022,0.4019
LT,6/10/2022,0
LT,6/14/2022,0.6124
LT,6/15/2022,0.20095
LT,6/18/2022,-0.1531
LT,6/19/2022,0
LT,6/21/2022,0.743
LT,6/25/2022,0
LT,6/26/2022,0
LT,6/27/2022,0.250325
LT,7/7/2022,0.5994
LT,7/8/2022,0.5994
LT,7/10/2022,0.34
LT,7/11/2022,0
LT,7/12/2022,0
LT,7/15/2022,0
LT,7/18/2022,0
LT,7/19/2022,0
LT,7/20/2022,0
LT,7/21/2022,0.2263
LT,7/25/2022,0
LT,7/26/2022,-0.051033333
LT,7/27/2022,0.10115
M&M,6/28/2022,0.391425
M&M,6/29/2022,0
M&M,6/30/2022,0.6597
M&M,7/1/2022,0
M&M,7/4/2022,0.275233333
M&M,7/5/2022,0.20095
M&M,7/7/2022,-0.1366
M&M,7/8/2022,0
M&M,7/9/2022,0.2553
M&M,7/10/2022,0.17
M&M,7/11/2022,0.309533333
M&M,7/13/2022,0.29795
M&M,7/18/2022,0.5994
M&M,7/19/2022,0.5994
M&M,7/21/2022,0
M&M,7/25/2022,0
M&M,7/26/2022,0
M&M,7/30/2022,0
M&M,8/1/2022,0.494666667
M&M,8/2/2022,0.34
M&M,8/5/2022,0
M&M,8/6/2022,0.2359
MARUTI,7/28/2022,0
MARUTI,7/29/2022,0.063366667
MARUTI,7/30/2022,0.7096
MARUTI,7/31/2022,0.4588
MARUTI,8/1/2022,0.27656
MARUTI,8/2/2022,0.2313
MARUTI,8/3/2022,-0.3182
MARUTI,8/4/2022,0
MARUTI,8/5/2022,0.10115
MARUTI,8/6/2022,0.4019
MARUTI,8/8/2022,0
NESTLEIND,3/24/2022,0
NESTLEIND,3/28/2022,0.5784
NESTLEIND,3/30/2022,0
NESTLEIND,4/12/2022,0
NESTLEIND,4/21/2022,0.3713
NESTLEIND,5/2/2022,0.1531
NESTLEIND,5/5/2022,0.5994
NESTLEIND,5/9/2022,0.0998
NESTLEIND,5/17/2022,0.5994
NESTLEIND,5/20/2022,0.5994
NESTLEIND,5/24/2022,0
NESTLEIND,5/27/2022,0
NESTLEIND,6/1/2022,0.4019
NESTLEIND,6/9/2022,0
NESTLEIND,6/13/2022,0.4019
NESTLEIND,6/16/2022,0.4019
NESTLEIND,6/21/2022,0.5994
